latitude,longitude,date,temp,RH,wind,rain,FFMC,DMC,DC,ISI,fire
42.272,21.9662,2021-08-02,3.72,89,3.29,0.69,86.21,4.030000000000001,28.1,5.212359232205274,1
49.4564,36.931,2022-07-07,9.4,85,3.25,0.0,86.65,26.1,107.0,5.207016966982578,1
43.6146,21.0004,2024-07-09,2.95,92,2.32,0.0,85.88,10.825000000000001,46.75,4.360283962210616,1
36.9284,41.5349,2020-07-19,16.37,37,2.28,0.0,91.93,74.95500000000001,333.85,4.6270418642296,1
35.4879,44.1561,2024-06-24,19.88,30,3.58,0.0,92.7,85.82,379.4,5.8465543698831715,1
37.8715,22.9444,2020-07-22,14.39,68,4.17,0.0,88.52,47.185,199.95,6.02543183957244,1
52.0518,4.416,2022-08-08,7.8,96,5.66,0.0,85.44,14.899999999999999,55.0,6.775606883519733,1
37.0685,42.0036,2024-08-03,16.07,36,1.09,0.0,92.04,75.305,336.35,3.203086036933757,1
52.1899,44.4795,2023-08-20,0.4,72,3.55,0.0,88.08,23.000000000000004,114.0,5.531847864863964,1
52.1588,10.4203,2023-06-04,5.13,68,6.26,0.61,88.52,24.145000000000003,123.15,7.382565641353207,1
49.3215,38.0369,2024-09-04,9.15,79,2.88,0.0,87.31,30.525000000000002,129.75,4.938999445231797,1
35.6882,43.8918,2024-06-19,19.69,28,3.14,0.0,92.92,87.135,386.45,5.488488650095054,1
39.1534,37.6085,2020-09-01,4.84,61,0.98,0.0,89.29,38.46,180.2,2.9464196763001858,1
54.0431,38.7107,2020-09-06,4.76,88,5.72,0.0,86.32,16.740000000000002,71.8,6.881580448963418,1
41.8689,-8.2984,2024-09-04,12.91,78,1.47,0.0,87.42,36.965,152.55,3.533037237278996,1
63.8914,-22.2017,2021-07-03,0.23,70,7.93,0.0,88.3,24.345,121.15,8.28850192200684,1
47.6247,34.3214,2021-08-01,12.4,78,3.77,0.0,87.42,36.2,150.0,5.657964556269331,1
46.3829,32.7941,2023-07-07,14.12,58,3.02,0.0,89.62,54.78,238.6,5.191431839311986,1
53.3645,42.8051,2020-09-07,1.51,73,4.53,0.0,87.97,23.865000000000002,115.55,6.241118638780498,1
52.3523,7.2773,2020-08-07,3.92,92,8.63,0.0,85.88,12.280000000000001,51.6,8.409616259708617,1
35.8118,-0.2612,2022-08-10,15.71,44,4.68,0.0,91.16,68.36500000000001,302.55,6.573641085425944,1
46.9621,32.9322,2024-07-02,13.27,63,3.51,0.0,89.07,49.505,214.35,5.562419717173453,1
35.3861,44.2141,2020-06-08,20.02,30,3.75,0.0,92.7,86.03,380.1,5.98375926989046,1
44.5178,-1.2113,2022-07-15,10.9,66,2.06,0.0,88.74,43.550000000000004,190.5,4.245528687925686,1
51.7982,17.7801,2022-08-04,1.78,93,4.76,0.0,85.77,8.27,36.9,6.237601587148702,1
37.0498,43.5539,2024-07-05,13.63,46,0.7,0.0,90.94,63.645,284.15,2.5361954271002944,1
35.6339,44.0054,2020-06-17,20.32,27,2.91,0.0,93.03,88.88000000000001,393.6,5.289909726072837,1
45.4248,11.3642,2024-06-18,9.55,56,1.51,0.0,89.84,49.525000000000006,223.75,3.6799080085120486,1
48.1579,30.615,2020-07-09,12.51,86,2.76,0.0,86.54,29.965000000000003,118.55,4.792368193979535,1
38.0387,12.7718,2021-07-04,9.23,75,1.89,0.13,87.75,31.895,139.65,4.02121017232375,1
41.7729,22.795,2021-08-06,6.94,90,1.84,0.42,86.1,12.11,53.7,3.8930574103139035,1
41.5094,1.4611,2021-07-24,7.18,61,1.34,0.0,89.29,41.97,191.9,3.445354923500465,1
37.2894,39.5025,2024-08-07,14.04,42,1.44,0.0,91.38,67.46000000000001,302.2,3.6552,1
53.1167,31.8211,2020-08-18,6.87,86,3.78,0.0,86.54,21.505000000000003,90.35,5.6084330004021625,1
40.9164,-7.8456,2020-09-07,10.54,60,1.01,0.0,89.4,47.81,212.7,2.9948629350940252,1
35.6587,43.9665,2020-09-07,20.0,27,2.86,0.0,93.03,88.4,392.0,5.244266856291736,1
44.474,22.7759,2021-08-02,5.75,85,3.98,0.0,86.65,20.625,88.75,5.762206902644931,1
47.0151,41.4357,2024-08-03,10.07,71,4.71,0.0,88.19,38.30500000000001,166.35,6.379821699964141,1
38.7948,23.3049,2021-08-04,15.34,69,7.47,0.0,88.41,47.81,200.7,8.054534327321475,1
63.8894,-22.2679,2021-08-05,-0.49,75,11.83,0.0,87.75,19.265,97.55,10.060469360323104,1
36.4853,43.7302,2024-08-09,17.56,35,2.22,0.0,92.15,78.34,347.8,4.576680256109953,1
48.3189,39.2866,2024-09-07,9.08,81,3.08,0.0,87.09,28.82,121.4,5.094744323319866,1
36.4106,41.9077,2020-07-20,14.15,45,1.01,0.0,91.05,65.225,290.75,3.05013725101019,1
46.7846,32.3136,2022-07-03,14.49,75,3.53,0.0,87.75,41.735,172.45,5.495576061706361,1
41.4582,22.1779,2021-07-02,12.23,89,2.31,0.58,86.21,18.445,76.15,4.367595202931089,1
41.8831,-6.0335,2022-07-18,9.37,66,0.58,0.0,88.74,41.255,182.85,2.2527456847145437,1
36.6148,8.0126,2020-08-01,6.47,90,4.35,1.21,86.1,0.0,11.849999999999994,5.985859587394278,1
37.4009,34.8895,2020-09-09,15.85,47,1.81,0.0,90.83,66.17500000000001,291.25,4.073308907319017,1
41.9782,19.8842,2021-08-19,2.73,84,4.76,0.0,86.76,16.895,77.65,6.3095990871052985,1
36.2434,33.2484,2021-07-16,12.82,69,1.07,0.0,88.41,44.03,188.1,3.048400503542801,1
37.0572,40.2273,2023-07-19,15.51,38,0.37,0.0,91.82,72.86500000000001,325.55,1.861730851773275,1
37.6727,21.6427,2021-08-04,14.5,87,6.93,0.56,86.43,23.75,96.5,7.584201720023012,1
53.8537,44.7235,2024-08-23,0.28,72,3.59,0.0,88.08,22.820000000000004,113.4,5.562925906391348,1
35.6284,44.0197,2020-08-09,20.32,27,2.91,0.0,93.03,88.88000000000001,393.6,5.289909726072837,1
37.0647,41.3338,2020-08-07,15.8,38,1.23,0.0,91.82,73.30000000000001,327.0,3.3944435400617086,1
35.6972,42.9638,2020-06-17,18.09,38,3.08,0.0,91.82,76.735,338.45,5.371448200335631,1
41.9676,19.8746,2021-08-19,4.52,84,4.76,0.0,86.76,19.58,86.6,6.3095990871052985,1
35.1187,-5.4393,2021-08-15,19.0,27,0.8,0.0,93.03,86.9,387.0,2.773618719290739,1
36.8547,40.3471,2023-07-02,16.18,38,0.82,0.0,91.82,73.87,328.9,2.771551544612592,1
42.7116,24.1773,2024-08-21,6.4,93,0.93,0.0,85.77,15.200000000000003,60.0,2.757119752567886,1
41.8845,-6.2926,2022-06-17,8.2,70,1.21,0.0,88.3,36.3,161.0,3.237666666666667,1
44.4924,-0.6307,2022-08-10,11.4,68,0.9,0.0,88.52,42.7,185.0,2.799248184781049,1
51.6884,25.5799,2024-09-08,2.05,77,5.0,0.0,87.53,21.475,102.25,6.5241010023518875,1
39.6434,9.2127,2024-08-07,7.86,86,3.12,0.0,86.54,22.990000000000002,95.30000000000001,5.095337235813413,1
37.1697,13.9918,2023-07-10,12.89,67,1.51,0.0,88.63,45.735,196.45,3.6303455787446888,1
40.4546,9.5906,2020-08-04,7.36,86,3.35,0.0,86.54,22.240000000000002,92.80000000000001,5.279806905139199,1
38.1296,23.6922,2023-08-23,12.24,72,4.92,0.0,88.08,40.760000000000005,173.2,6.51236303656361,1
51.034,2.2779,2021-06-24,11.09,90,8.26,0.0,86.1,24.634999999999998,95.45,8.24844191347675,1
37.4431,14.3838,2021-08-02,7.7,70,2.7,0.0,88.3,35.55,158.5,4.836390182770617,1
37.0401,41.1847,2020-07-06,15.8,38,1.47,0.0,91.82,73.30000000000001,327.0,3.7108611201894006,1
38.3128,16.2722,2020-08-16,12.03,61,1.07,0.0,89.29,49.245000000000005,216.15,3.078743139478981,1
35.7161,44.036,2020-09-10,19.84,27,2.73,0.0,93.03,88.16,391.2,5.12369288014026,1
49.4824,0.2382,2023-06-03,10.56,93,6.17,0.0,85.77,21.44,80.80000000000001,7.10160867480038,1
36.5046,36.995,2021-07-01,16.77,42,2.52,0.0,91.38,71.555,315.85,4.835375096101646,1
44.4738,-0.6286,2022-07-18,11.4,68,0.85,0.0,88.52,42.7,185.0,2.7203802511985544,1
40.5213,-7.8323,2023-08-23,15.32,53,2.04,0.0,90.17,60.58,264.6,4.292950676011392,1
47.8758,35.1646,2020-09-03,12.19,86,3.3,0.0,86.54,29.485,116.94999999999999,5.240257232871939,1
37.3285,28.3647,2021-08-04,9.17,81,4.08,0.0,87.09,28.955,121.85,5.863772567213022,1
51.3643,6.7122,2023-09-07,4.92,95,6.17,0.0,85.55,11.379999999999999,44.6,7.083393052689431,1
47.652,39.6185,2022-07-09,8.81,76,3.24,0.0,87.64,32.415000000000006,140.05,5.258400000000001,1
35.0964,44.1972,2024-06-22,20.26,28,3.97,0.0,92.92,87.99000000000001,389.3,6.17139294631105,1
52.2641,44.632,2023-09-04,0.45,71,3.37,0.0,88.19,23.875000000000004,118.25,5.396510648043274,1
37.6493,38.511,2024-09-07,13.48,44,0.83,0.0,91.16,65.02000000000001,291.4,2.7683570835826474,1
36.9247,43.4906,2024-08-16,10.44,42,0.47,0.0,91.38,62.06,284.2,2.088232391282158,1
52.9999,38.5332,2024-08-15,5.04,88,5.25,0.0,86.32,17.160000000000004,73.2,6.592798899809801,1
41.8116,15.3683,2022-06-06,9.96,87,5.41,0.0,86.43,25.340000000000003,101.80000000000001,6.701035070047015,1
44.9999,19.3646,2020-07-15,2.22,94,1.34,0.0,85.66,8.13,35.1,3.3052872969767026,1
36.731,39.9586,2020-08-02,16.03,37,1.09,0.0,91.93,74.44500000000001,332.15,3.1992579245471564,1
49.4602,43.8023,2023-08-20,5.07,59,3.73,0.0,89.51,40.405,189.35,5.762417468485871,1
37.1837,42.5834,2023-06-15,16.13,39,1.48,0.0,91.71,72.995,324.65,3.7190010110243312,1
48.2255,39.7402,2020-08-20,8.8,81,2.61,0.0,87.09,28.400000000000002,120.0,4.68994003053344,1
41.4257,-8.0691,2020-09-08,10.17,72,0.74,0.0,88.08,37.655,162.85,2.5256426984037152,1
40.95,25.7135,2023-08-23,16.36,79,9.65,0.0,87.31,41.34,165.8,9.040790179637078,1
47.602,33.654,2022-07-15,12.68,73,3.5,0.0,87.97,40.620000000000005,171.4,5.48589333857506,1
40.2023,27.726,2022-09-10,18.64,48,3.71,0.0,90.72,69.56,301.2,5.824635349959687,1
42.9041,25.0885,2022-07-24,8.48,97,0.52,0.0,85.33,15.120000000000001,54.400000000000006,2.051077935568948,1
55.7029,9.1936,2021-08-08,6.99,93,6.69,0.0,85.77,16.085,62.95,7.394813310016691,1
51.1237,35.075,2024-09-01,8.28,95,4.38,0.0,85.55,16.419999999999998,61.4,5.968096192812802,1
47.9242,39.6768,2021-08-18,8.66,82,2.99,0.0,86.98,27.39,115.3,5.013416000648216,1
36.4869,3.511,2023-07-24,8.25,59,7.25,0.0,89.51,45.175000000000004,205.25,8.033768364776824,1
47.2997,38.6087,2023-08-15,10.74,72,2.74,0.0,88.08,38.510000000000005,165.7,4.859944756887675,1
46.3603,2.6055,2021-06-15,7.1,78,0.45,0.0,87.42,28.25,123.5,1.9547706259303164,1
